date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:53	330748/330748	---MCZ	200	added ('OK')	text/css	date:Sun,%2002%20Feb%202025%2018:43:54%20GMT	https://web.archive.org/web/20241230180632cs_/https://www.cdc.gov/TemplatePackage/5.0/css/homepage/hp-2024.min.css?_=71669	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230180632cs_/https_/www.cdc.gov/TemplatePackage/5.0/css/homepage/hp-2024.min8ddc.css	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:53	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:43:54%20GMT	https://web.archive.org/web/20241230193547cs_/https://www.cdc.gov/TemplatePackage/5.0/css/print.min.css?_=71669	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547cs_/https_/www.cdc.gov/TemplatePackage/5.0/css/print.min8ddc.css	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:54	6393/6393	---MCZ	200	added ('OK')	text/css	date:Sun,%2002%20Feb%202025%2018:43:54%20GMT	https://web.archive.org/web/20241230191344cs_/https://www.cdc.gov/TemplatePackage/5.0/css/print.min.css?_=71669	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230191344cs_/https_/www.cdc.gov/TemplatePackage/5.0/css/print.min8ddc.css	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:43:55%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/TemplatePackage/5.0/json/manifest.json	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/TemplatePackage/5.0/json/manifest.10.delayed	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:43:55%20GMT	https://web.archive.org/web/20241230193547js_/https://www.cdc.gov/JScript/metrics/topic_levels.js?_=12554	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547js_/https_/www.cdc.gov/JScript/metrics/topic_levelsa748.js	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:54	3248/3248	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2002%20Feb%202025%2018:43:55%20GMT	https://web.archive.org/web/20241230191344js_/https://www.cdc.gov/JScript/metrics/topic_levels.js?_=12554	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230191344js_/https_/www.cdc.gov/JScript/metrics/topic_levelsa748.js	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:55	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:43:55%20GMT	https://web.archive.org/web/20241230193547js_/https://www.cdc.gov/JScript/metrics/adobe/launch/b36c1852e229/2c674008a127/launch-04da70ea688d.min.js?_=12554	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547js_/https_/www.cdc.gov/JScript/metrics/adobe/launch/b36c1852e229/2c674008a127/launch-04da70ea688d.mina748.js	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:55	208424/208424	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2002%20Feb%202025%2018:43:55%20GMT	https://web.archive.org/web/20241230191344js_/https://www.cdc.gov/JScript/metrics/adobe/launch/b36c1852e229/2c674008a127/launch-04da70ea688d.min.js?_=12554	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230191344js_/https_/www.cdc.gov/JScript/metrics/adobe/launch/b36c1852e229/2c674008a127/launch-04da70ea688d.mina748.js	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:55	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:43:56%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/index.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/index-2.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:55	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:43:56%20GMT	https://web.archive.org/web/20241230193547cs_/https://www.cdc.gov/homepage/hp2024.css	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547cs_/https_/www.cdc.gov/homepage/hp2024.css	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:56	2020/2020	---MCZ	200	added ('OK')	text/css	date:Sun,%2002%20Feb%202025%2018:43:56%20GMT	https://web.archive.org/web/20241230180632cs_/https://www.cdc.gov/homepage/hp2024.css	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230180632cs_/https_/www.cdc.gov/homepage/hp2024.css	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:56	6476/6476	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Jan%202025%2019:34:41%20GMT	https://web-static.archive.org/_static/images/toolbar/wayback-toolbar-logo-200.png	C:/My%20Web%20Sites/TheyWontBurnUs/web-static.archive.org/_static/images/toolbar/wayback-toolbar-logo-200.png	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:56	292/292	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Jan%202025%2019:34:42%20GMT	https://web-static.archive.org/_static/images/toolbar/wm_tb_prv_on.png	C:/My%20Web%20Sites/TheyWontBurnUs/web-static.archive.org/_static/images/toolbar/wm_tb_prv_on.png	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:56	294/294	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Jan%202025%2019:34:33%20GMT	https://web-static.archive.org/_static/images/toolbar/wm_tb_nxt_on.png	C:/My%20Web%20Sites/TheyWontBurnUs/web-static.archive.org/_static/images/toolbar/wm_tb_nxt_on.png	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:56	913/913	---M--	200	added ('OK')	image/gif	date:Wed,%2022%20Jan%202025%2019:34:33%20GMT	https://web-static.archive.org/_static/images/loading.gif	C:/My%20Web%20Sites/TheyWontBurnUs/web-static.archive.org/_static/images/loading.gif	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:57	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:43:57%20GMT	https://web.archive.org/web/20241230193547im_/https://www.cdc.gov/TemplatePackage/5.0/img/uswds/us_flag_small.png	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547im_/https_/www.cdc.gov/TemplatePackage/5.0/img/uswds/us_flag_small.png	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:43:57	252/252	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Feb%202025%2018:43:57%20GMT	https://web.archive.org/web/20241230191344im_/https://www.cdc.gov/TemplatePackage/5.0/img/uswds/us_flag_small.png	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230191344im_/https_/www.cdc.gov/TemplatePackage/5.0/img/uswds/us_flag_small.png	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
